,survived,pclass,age,sibsp,parch,fare,deck,embark_town,alone,female,male,child
1,1,1,38.0,1,0,71.2833,2,0,0,1,0,0
3,1,1,35.0,1,0,53.1,2,2,0,1,0,0
6,0,1,54.0,0,0,51.8625,4,2,1,0,1,0
10,1,3,4.0,1,1,16.7,6,2,0,1,0,1
11,1,1,58.0,0,0,26.55,2,2,1,1,0,0
21,1,2,34.0,0,0,13.0,3,2,1,0,1,0
23,1,1,28.0,0,0,35.5,0,2,1,0,1,0
27,0,1,19.0,3,2,263.0,2,2,0,0,1,0
52,1,1,49.0,1,0,76.7292,3,0,0,1,0,0
54,0,1,65.0,0,1,61.9792,1,0,0,0,1,0
62,0,1,45.0,1,0,83.475,2,2,0,0,1,0
66,1,2,29.0,0,0,10.5,5,2,1,1,0,0
75,0,3,25.0,0,0,7.65,5,2,1,0,1,0
88,1,1,23.0,3,2,263.0,2,2,0,1,0,0
92,0,1,46.0,1,0,61.175,4,2,0,0,1,0
96,0,1,71.0,0,0,34.6542,0,0,1,0,1,0
97,1,1,23.0,0,1,63.3583,3,0,0,0,1,0
102,0,1,21.0,0,1,77.2875,3,2,0,0,1,0
110,0,1,47.0,0,0,52.0,2,2,1,0,1,0
118,0,1,24.0,0,1,247.5208,1,0,0,0,1,0
123,1,2,32.5,0,0,13.0,4,2,1,1,0,0
124,0,1,54.0,0,1,77.2875,3,2,0,0,1,0
136,1,1,19.0,0,2,26.2833,3,2,0,1,0,0
137,0,1,37.0,1,0,53.1,2,2,0,0,1,0
139,0,1,24.0,0,0,79.2,1,0,1,0,1,0
148,0,2,36.5,0,2,26.0,5,2,0,0,1,0
151,1,1,22.0,1,0,66.6,2,2,0,1,0,0
170,0,1,61.0,0,0,33.5,1,2,1,0,1,0
174,0,1,56.0,0,0,30.6958,0,0,1,0,1,0
177,0,1,50.0,0,0,28.7125,2,0,1,1,0,0
183,1,2,1.0,2,1,39.0,5,2,0,0,1,1
193,1,2,3.0,1,1,26.0,5,2,0,0,1,1
194,1,1,44.0,0,0,27.7208,1,0,1,1,0,0
195,1,1,58.0,0,0,146.5208,1,0,1,1,0,0
205,0,3,2.0,0,1,10.4625,6,2,0,1,0,1
209,1,1,40.0,0,0,31.0,0,0,1,0,1,0
215,1,1,31.0,1,0,113.275,3,0,0,1,0,0
218,1,1,32.0,0,0,76.2917,3,0,1,1,0,0
224,1,1,38.0,1,0,90.0,2,2,0,0,1,0
230,1,1,35.0,1,0,83.475,2,2,0,1,0,0
245,0,1,44.0,2,0,90.0,2,1,0,0,1,0
248,1,1,37.0,1,1,52.5542,3,2,0,0,1,0
251,0,3,29.0,1,1,10.4625,6,2,0,1,0,0
252,0,1,62.0,0,0,26.55,2,2,1,0,1,0
257,1,1,30.0,0,0,86.5,1,2,1,1,0,0
262,0,1,52.0,1,1,79.65,4,2,0,0,1,0
263,0,1,40.0,0,0,0.0,1,2,1,0,1,0
268,1,1,58.0,0,1,153.4625,2,2,0,1,0,0
269,1,1,35.0,0,0,135.6333,2,2,1,1,0,0
273,0,1,37.0,0,1,29.7,2,0,0,0,1,0
275,1,1,63.0,1,0,77.9583,3,2,0,1,0,0
291,1,1,19.0,1,0,91.0792,1,0,0,1,0,0
292,0,2,36.0,0,0,12.875,3,0,1,0,1,0
297,0,1,2.0,1,2,151.55,2,2,0,1,0,1
299,1,1,50.0,0,1,247.5208,1,0,0,1,0,0
305,1,1,0.92,1,2,151.55,2,2,0,0,1,1
307,1,1,17.0,1,0,108.9,2,0,0,1,0,0
309,1,1,30.0,0,0,56.9292,4,0,1,1,0,0
310,1,1,24.0,0,0,83.1583,2,0,1,1,0,0
311,1,1,18.0,2,2,262.375,1,0,0,1,0,0
318,1,1,31.0,0,2,164.8667,2,2,0,1,0,0
319,1,1,40.0,1,1,134.5,4,0,0,1,0,0
325,1,1,36.0,0,0,135.6333,2,0,1,1,0,0
327,1,2,36.0,0,0,13.0,3,2,1,1,0,0
329,1,1,16.0,0,1,57.9792,1,0,0,1,0,0
331,0,1,45.5,0,0,28.5,2,2,1,0,1,0
332,0,1,38.0,0,1,153.4625,2,2,0,0,1,0
336,0,1,29.0,1,0,66.6,2,2,0,0,1,0
337,1,1,41.0,0,0,134.5,4,0,1,1,0,0
340,1,2,2.0,1,1,26.0,5,2,0,0,1,1
341,1,1,24.0,3,2,263.0,2,2,0,1,0,0
345,1,2,24.0,0,0,13.0,5,2,1,1,0,0
356,1,1,22.0,0,1,55.0,4,2,0,1,0,0
366,1,1,60.0,1,0,75.25,3,0,0,1,0,0
369,1,1,24.0,0,0,69.3,1,0,1,1,0,0
370,1,1,25.0,1,0,55.4417,4,0,0,0,1,0
377,0,1,27.0,0,2,211.5,2,0,0,0,1,0
390,1,1,36.0,1,2,120.0,1,2,0,0,1,0
393,1,1,23.0,1,0,113.275,3,0,0,1,0,0
394,1,3,24.0,0,2,16.7,6,2,0,1,0,0
412,1,1,33.0,1,0,90.0,2,1,0,1,0,0
429,1,3,32.0,0,0,8.05,4,2,1,0,1,0
430,1,1,28.0,0,0,26.55,2,2,1,0,1,0
434,0,1,50.0,1,0,55.9,4,2,0,0,1,0
435,1,1,14.0,1,2,120.0,1,2,0,1,0,1
438,0,1,64.0,1,4,263.0,2,2,0,0,1,0
445,1,1,4.0,0,2,81.8583,0,2,0,0,1,1
449,1,1,52.0,0,0,30.5,2,2,1,0,1,0
452,0,1,30.0,0,0,27.75,2,0,1,0,1,0
453,1,1,49.0,1,0,89.1042,2,0,0,0,1,0
456,0,1,65.0,0,0,26.55,4,2,1,0,1,0
460,1,1,48.0,0,0,26.55,4,2,1,0,1,0
462,0,1,47.0,0,0,38.5,4,2,1,0,1,0
473,1,2,23.0,0,0,13.7917,3,0,1,1,0,0
484,1,1,25.0,1,0,91.0792,1,0,0,0,1,0
486,1,1,35.0,1,0,90.0,2,2,0,1,0,0
487,0,1,58.0,0,0,29.7,1,0,1,0,1,0
492,0,1,55.0,0,0,30.5,2,2,1,0,1,0
496,1,1,54.0,1,0,78.2667,3,0,0,1,0,0
498,0,1,25.0,1,2,151.55,2,2,0,1,0,0
504,1,1,16.0,0,0,86.5,1,2,1,1,0,0
505,0,1,18.0,1,0,108.9,2,0,0,0,1,0
512,1,1,36.0,0,0,26.2875,4,2,1,0,1,0
515,0,1,47.0,0,0,34.0208,3,2,1,0,1,0
516,1,2,34.0,0,0,10.5,5,2,1,1,0,0
520,1,1,30.0,0,0,93.5,1,2,1,1,0,0
523,1,1,44.0,0,1,57.9792,1,0,0,1,0,0
536,0,1,45.0,0,0,26.55,1,2,1,0,1,0
539,1,1,22.0,0,2,49.5,1,0,0,1,0,0
540,1,1,36.0,0,2,71.0,1,2,0,1,0,0
544,0,1,50.0,1,0,106.425,2,0,0,0,1,0
550,1,1,17.0,0,2,110.8833,2,0,0,0,1,0
556,1,1,48.0,1,0,39.6,0,0,0,1,0,0
558,1,1,39.0,1,1,79.65,4,2,0,1,0,0
571,1,1,53.0,2,0,51.4792,2,2,0,1,0,0
572,1,1,36.0,0,0,26.3875,4,2,1,0,1,0
577,1,1,39.0,1,0,55.9,4,2,0,1,0,0
581,1,1,39.0,1,1,110.8833,2,0,0,1,0,0
583,0,1,36.0,0,0,40.125,0,0,1,0,1,0
585,1,1,18.0,0,2,79.65,4,2,0,1,0,0
587,1,1,60.0,1,1,79.2,1,0,0,0,1,0
591,1,1,52.0,1,0,78.2667,3,0,0,1,0,0
599,1,1,49.0,1,0,56.9292,0,0,0,0,1,0
609,1,1,40.0,0,0,153.4625,2,2,1,1,0,0
618,1,2,4.0,2,1,39.0,5,2,0,1,0,1
621,1,1,42.0,1,0,52.5542,3,2,0,0,1,0
625,0,1,61.0,0,0,32.3208,3,2,1,0,1,0
627,1,1,21.0,0,0,77.9583,3,2,1,1,0,0
630,1,1,80.0,0,0,30.0,0,2,1,0,1,0
632,1,1,32.0,0,0,30.5,1,0,1,0,1,0
641,1,1,24.0,0,0,69.3,1,0,1,1,0,0
645,1,1,48.0,1,0,76.7292,3,0,0,0,1,0
647,1,1,56.0,0,0,35.5,0,0,1,0,1,0
659,0,1,58.0,0,2,113.275,3,0,0,0,1,0
662,0,1,47.0,0,0,25.5875,4,2,1,0,1,0
671,0,1,31.0,1,0,52.0,1,2,0,0,1,0
679,1,1,36.0,0,1,512.3292,1,0,0,0,1,0
681,1,1,27.0,0,0,76.7292,3,0,1,0,1,0
689,1,1,15.0,0,1,211.3375,1,2,0,1,0,1
690,1,1,31.0,1,0,57.0,1,2,0,0,1,0
698,0,1,49.0,1,1,110.8833,2,0,0,0,1,0
699,0,3,42.0,0,0,7.65,5,2,1,0,1,0
700,1,1,18.0,1,0,227.525,2,0,0,1,0,0
701,1,1,35.0,0,0,26.2875,4,2,1,0,1,0
707,1,1,42.0,0,0,26.2875,4,2,1,0,1,0
710,1,1,24.0,0,0,49.5042,2,0,1,1,0,0
712,1,1,48.0,1,0,52.0,2,2,0,0,1,0
715,0,3,19.0,0,0,7.65,5,2,1,0,1,0
716,1,1,38.0,0,0,227.525,2,0,1,1,0,0
717,1,2,27.0,0,0,10.5,4,2,1,1,0,0
724,1,1,27.0,1,0,53.1,4,2,0,0,1,0
730,1,1,29.0,0,0,211.3375,1,2,1,1,0,0
737,1,1,35.0,0,0,512.3292,1,0,1,0,1,0
741,0,1,36.0,1,0,78.85,2,2,0,0,1,0
742,1,1,21.0,2,2,262.375,1,0,0,1,0,0
745,0,1,70.0,1,1,71.0,1,2,0,0,1,0
748,0,1,19.0,1,0,53.1,3,2,0,0,1,0
751,1,3,6.0,0,1,12.475,4,2,0,0,1,1
759,1,1,33.0,0,0,86.5,1,2,1,1,0,0
763,1,1,36.0,1,2,120.0,1,2,0,1,0,0
765,1,1,51.0,1,0,77.9583,3,2,0,1,0,0
772,0,2,57.0,0,0,10.5,4,2,1,1,0,0
779,1,1,43.0,0,1,211.3375,1,2,0,1,0,0
781,1,1,17.0,1,0,57.0,1,2,0,1,0,0
782,0,1,29.0,0,0,30.0,3,2,1,0,1,0
789,0,1,46.0,0,0,79.2,1,0,1,0,1,0
796,1,1,49.0,0,0,25.9292,3,2,1,1,0,0
802,1,1,11.0,1,2,120.0,1,2,0,0,1,1
806,0,1,39.0,0,0,0.0,0,2,1,0,1,0
809,1,1,33.0,1,0,53.1,4,2,0,1,0,0
820,1,1,52.0,1,1,93.5,1,2,0,1,0,0
823,1,3,27.0,0,1,12.475,4,2,0,1,0,0
835,1,1,39.0,1,1,83.1583,4,0,0,1,0,0
853,1,1,16.0,0,1,39.4,3,2,0,1,0,0
857,1,1,51.0,0,0,26.55,4,2,1,0,1,0
862,1,1,48.0,0,0,25.9292,3,2,1,1,0,0
867,0,1,31.0,0,0,50.4958,0,2,1,0,1,0
871,1,1,47.0,1,1,52.5542,3,2,0,1,0,0
872,0,1,33.0,0,0,5.0,1,2,1,0,1,0
879,1,1,56.0,0,1,83.1583,2,0,0,1,0,0
887,1,1,19.0,0,0,30.0,1,2,1,1,0,0
889,1,1,26.0,0,0,30.0,2,0,1,0,1,0
